"Source:","/home/jhugon/kicad/sma_to_led/sma_to_led.kicad_sch"
"Date:","Sat 26 Feb 2022 03:36:06 PM CST"
"Tool:","Eeschema 6.0.2-378541a8eb~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","4"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfr","Part"
"","","D1","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/239/Lite-On-LTST-C150TBKT-1175371.pdf","Lite-On ","LTST-C150TBKT "
"","","D2","LED","Device:LED","LED_THT:LED_D5.0mm","https://www.mouser.com/datasheet/2/723/1124_C503B_BCS_BCN_GCS_GCN_030-2326560.pdf","Cree LED ","C503B-BAS-CX0B0462 "
"","","J1","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","https://www.mouser.com/datasheet/2/18/1/amphs06501_1-2259276.pdf","Amphenol RF","132289"
"","","R1","30R","Device:R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/427/crcwce3-1762584.pdf","Vishay","CRCW120627R0FKEAC "



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Mfr","Part"
"1","1","D1","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/239/Lite-On-LTST-C150TBKT-1175371.pdf","Lite-On ","LTST-C150TBKT "
"2","1","D2","LED","Device:LED","LED_THT:LED_D5.0mm","https://www.mouser.com/datasheet/2/723/1124_C503B_BCS_BCN_GCS_GCN_030-2326560.pdf","Cree LED ","C503B-BAS-CX0B0462 "
"3","1","J1","Conn_Coaxial","Connector:Conn_Coaxial","Connector_Coaxial:SMA_Amphenol_132289_EdgeMount","https://www.mouser.com/datasheet/2/18/1/amphs06501_1-2259276.pdf","Amphenol RF","132289"
"4","1","R1","30R","Device:R_US","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://www.mouser.com/datasheet/2/427/crcwce3-1762584.pdf","Vishay","CRCW120627R0FKEAC "
